time,posture,XY,Y,dyno,vm,dyno_vm,ankle
2021-06-07 15:47:33.001456366,3.0,102.61341984110932,89.46621566716686,0.0,0.0,0.0,
2021-06-07 15:47:34.001457756,3.0,100.37956689176217,90.3717134639124,0.0,0.0,0.0,
2021-06-07 15:47:35.001459145,3.0,97.26138057135337,90.72403771390913,0.0,0.0,0.0,
2021-06-07 15:47:36.001460535,3.0,95.57940285440367,90.57367874745604,0.0,0.0,0.0,
2021-06-07 15:47:37.001461925,3.0,95.09413909626245,90.32659952931658,0.0,0.0,0.0,
2021-06-07 15:47:38.001463314,3.0,94.89023677242174,90.32770474139873,0.0,0.0,0.0,
2021-06-07 15:47:39.001464704,3.0,94.8217218812213,90.62336220838407,0.0,0.0,0.0,
2021-06-07 15:47:40.001466094,3.0,94.86412422782554,90.87077270210806,0.0,0.0,0.0,
2021-06-07 15:47:41.001467483,3.0,94.92830743250474,90.92446563927571,0.0,0.0,0.0,
2021-06-07 15:47:42.001468873,3.0,95.10299559494007,91.02312028890185,0.0,0.0,0.0,
2021-06-07 15:47:43.001470263,3.0,95.37660379214365,91.25224428679702,0.0,0.0,0.0,
2021-06-07 15:47:44.001471652,3.0,95.5854041721631,91.4393856715547,0.0,0.0,0.0,
2021-06-07 15:47:45.001473042,3.0,95.77006413009141,91.60399078272607,0.0,0.0,0.0,
2021-06-07 15:47:46.001474432,3.0,96.1701779451954,91.99084361397628,0.0,0.0,0.0,
2021-06-07 15:47:47.001475821,3.0,96.66370754249111,92.48396506884946,0.0,0.0,0.0,
2021-06-07 15:47:48.001477211,3.0,96.83427464396138,92.65848504351509,0.0,0.0,0.0,
2021-06-07 15:47:49.001478601,3.0,96.6610260398905,92.48446664321756,0.0,0.0,0.0,
2021-06-07 15:47:50.001479990,3.0,96.47903097794656,92.30353593790744,0.0,0.0,0.0,
2021-06-07 15:47:51.001481380,3.0,96.47094090968949,92.29514741749111,0.0,0.0,0.0,
2021-06-07 15:47:52.001482770,3.0,96.49403109661576,92.29566779963032,0.0,0.0,0.0,
2021-06-07 15:47:53.001484159,3.0,96.27128621030114,92.04133585058834,0.0,0.0,0.0,
2021-06-07 15:47:54.001485549,3.0,95.78735065909822,91.55896325756767,0.0,0.0,0.0,
2021-06-07 15:47:55.001486939,3.0,95.35450731094242,91.16995258725491,0.0,0.0,0.0,
2021-06-07 15:47:56.001488328,3.0,95.21191717509343,91.07337840771781,0.0,0.0,0.0,
